predicted_label,prediction_prob,defense_action
1,0.999874,block_ip
0,4.3567365e-05,allow
1,0.9991616,block_ip
0,2.8794962e-05,allow
1,0.9998721,block_ip
0,9.83342e-05,allow
0,0.0001080577,allow
1,0.99978787,block_ip
0,1.8315817e-05,allow
0,0.00034860874,allow
0,0.0012070823,allow
1,0.9999665,block_ip
0,1.1827179e-05,allow
0,1.05972595e-05,allow
1,0.99868256,block_ip
1,0.99994373,block_ip
0,2.5106958e-05,allow
0,1.0937799e-05,allow
1,0.9999646,block_ip
1,0.9998368,block_ip
0,7.7640434e-05,allow
1,0.9999567,block_ip
0,0.00019208953,allow
0,3.9096747e-05,allow
1,0.9997658,block_ip
1,0.9999167,block_ip
0,4.8627513e-05,allow
1,0.9998338,block_ip
1,0.99993265,block_ip
0,1.0102235e-05,allow
1,0.99968874,block_ip
0,2.4419554e-05,allow
0,1.161454e-05,allow
1,0.9991474,block_ip
1,0.9998946,block_ip
1,0.999785,block_ip
0,5.2828054e-05,allow
1,0.9998036,block_ip
0,0.00011788458,allow
0,2.826018e-05,allow
0,6.568976e-05,allow
1,0.9991714,block_ip
0,1.041109e-05,allow
0,7.220475e-05,allow
1,0.9999043,block_ip
0,2.2703292e-05,allow
1,0.9998759,block_ip
0,1.03365155e-05,allow
0,7.536969e-06,allow
0,3.5190988e-05,allow
0,9.29137e-06,allow
0,1.33178655e-05,allow
0,0.00014847121,allow
1,0.9999621,block_ip
1,0.99905556,block_ip
0,3.6921512e-05,allow
0,7.0876677e-06,allow
0,6.657137e-05,allow
0,2.5049798e-05,allow
1,0.9999609,block_ip
1,0.99984527,block_ip
0,2.1631264e-05,allow
0,5.2550397e-05,allow
1,0.9999604,block_ip
0,1.6528396e-05,allow
1,0.9999554,block_ip
1,0.9999589,block_ip
1,0.999964,block_ip
1,0.99975365,block_ip
1,0.9999453,block_ip
0,3.6220394e-05,allow
1,0.9999505,block_ip
0,1.491478e-05,allow
1,0.9998969,block_ip
0,2.5757694e-05,allow
0,2.6271115e-05,allow
0,9.244211e-05,allow
0,2.4673067e-05,allow
1,0.99991107,block_ip
0,3.5166595e-05,allow
1,0.9999002,block_ip
1,0.9998735,block_ip
0,7.957924e-05,allow
1,0.9999486,block_ip
1,0.9998354,block_ip
0,1.8986684e-05,allow
0,3.504173e-05,allow
1,0.99994445,block_ip
0,9.670602e-05,allow
0,2.2081804e-05,allow
0,6.178821e-05,allow
0,0.00023615675,allow
1,0.9999583,block_ip
0,1.2869454e-05,allow
0,5.5700726e-05,allow
1,0.9997968,block_ip
0,4.780886e-05,allow
1,0.9999274,block_ip
1,0.9999497,block_ip
0,9.009406e-06,allow
1,0.99967206,block_ip
0,2.477138e-05,allow
1,0.9999473,block_ip
0,1.037901e-05,allow
1,0.9997569,block_ip
1,0.9999027,block_ip
1,0.99993074,block_ip
1,0.99995863,block_ip
0,0.00015190334,allow
1,0.9999516,block_ip
0,5.081282e-05,allow
0,0.0009071775,allow
0,5.7381792e-05,allow
1,0.9998754,block_ip
1,0.99876994,block_ip
0,7.578976e-05,allow
0,3.0630166e-05,allow
1,0.99994993,block_ip
1,0.99993324,block_ip
0,4.135685e-05,allow
1,0.9998154,block_ip
0,3.7269532e-05,allow
1,0.99994135,block_ip
1,0.99994874,block_ip
1,0.999645,block_ip
1,0.99995816,block_ip
1,0.99994063,block_ip
1,0.99994147,block_ip
1,0.99995196,block_ip
1,0.9999505,block_ip
0,2.635e-05,allow
1,0.9997948,block_ip
0,0.0056936196,allow
0,2.0742142e-05,allow
0,3.49219e-05,allow
1,0.99972624,block_ip
1,0.99942964,block_ip
0,5.066945e-05,allow
1,0.9994886,block_ip
1,0.9999343,block_ip
0,4.9548788e-05,allow
1,0.9999579,block_ip
0,1.1990605e-05,allow
1,0.99985015,block_ip
0,4.1558953e-05,allow
1,0.9999558,block_ip
0,3.2134456e-05,allow
0,4.1890962e-05,allow
0,8.70249e-06,allow
0,3.206463e-05,allow
1,0.99995625,block_ip
1,0.9997241,block_ip
0,3.6597427e-05,allow
0,0.00023553052,allow
0,8.3948935e-06,allow
1,0.99985564,block_ip
1,0.9999558,block_ip
1,0.9999263,block_ip
0,5.243091e-05,allow
1,0.99995303,block_ip
0,2.0184383e-05,allow
0,2.6695172e-05,allow
1,0.9999554,block_ip
1,0.99995327,block_ip
1,0.99994373,block_ip
0,4.8168058e-05,allow
0,2.1560048e-05,allow
1,0.9999337,block_ip
1,0.99989736,block_ip
1,0.99984527,block_ip
1,0.99995005,block_ip
0,4.8764687e-05,allow
1,0.99989367,block_ip
1,0.9997725,block_ip
1,0.99988484,block_ip
0,6.750168e-05,allow
0,8.241523e-05,allow
1,0.9997209,block_ip
1,0.9998229,block_ip
0,1.5546402e-05,allow
0,1.8892202e-05,allow
0,2.1458492e-05,allow
1,0.99991286,block_ip
0,1.7037677e-05,allow
1,0.999895,block_ip
1,0.99993896,block_ip
0,2.8320019e-05,allow
0,0.00011313184,allow
0,5.9192113e-05,allow
0,0.0006343485,allow
1,0.9999647,block_ip
0,7.307776e-05,allow
1,0.99919397,block_ip
0,5.8276484e-05,allow
1,0.9999162,block_ip
0,2.0019861e-05,allow
1,0.99993706,block_ip
0,1.0037921e-05,allow
0,6.0177263e-05,allow
1,0.99993074,block_ip
0,2.5452273e-05,allow
0,1.9030625e-05,allow
0,1.4603532e-05,allow
1,0.9997881,block_ip
1,0.9993918,block_ip
1,0.99993896,block_ip
1,0.99995005,block_ip
0,2.7782447e-05,allow
0,2.9505443e-05,allow
1,0.9999695,block_ip
0,8.000946e-06,allow
1,0.99989736,block_ip
0,3.6220394e-05,allow
0,6.0468217e-05,allow
0,9.770354e-06,allow
1,0.9999044,block_ip
0,3.2933265e-05,allow
0,5.1284544e-05,allow
0,0.0023926538,allow
1,0.999877,block_ip
0,8.195479e-05,allow
0,0.00010016368,allow
1,0.99994826,block_ip
1,0.99986863,block_ip
1,0.9998939,block_ip
0,1.1388082e-05,allow
1,0.9999062,block_ip
0,4.7081918e-05,allow
1,0.9998554,block_ip
0,2.283146e-05,allow
0,2.2776656e-05,allow
0,2.8062652e-05,allow
0,9.794582e-06,allow
1,0.99905723,block_ip
1,0.999241,block_ip
1,0.9998628,block_ip
0,0.00013597305,allow
1,0.99959546,block_ip
1,0.99975735,block_ip
1,0.99995244,block_ip
0,4.5825134e-05,allow
1,0.998774,block_ip
0,2.1116368e-05,allow
0,6.622028e-05,allow
1,0.99980885,block_ip
1,0.99934274,block_ip
1,0.99768317,block_ip
0,0.00056586677,allow
0,4.411744e-05,allow
0,4.357979e-05,allow
0,2.3285556e-05,allow
0,1.0268134e-05,allow
1,0.9998658,block_ip
1,0.9998739,block_ip
1,0.999889,block_ip
0,2.2365177e-05,allow
1,0.9999527,block_ip
0,2.43595e-05,allow
1,0.9996582,block_ip
0,1.9271867e-05,allow
0,7.894493e-06,allow
1,0.9999598,block_ip
1,0.99995744,block_ip
1,0.9999052,block_ip
0,2.0129157e-05,allow
1,0.99994826,block_ip
0,6.917808e-05,allow
0,0.00036928445,allow
1,0.99973077,block_ip
1,0.9998616,block_ip
1,0.999944,block_ip
1,0.9999529,block_ip
0,0.000101559504,allow
1,0.9987172,block_ip
0,3.7945516e-05,allow
0,9.182754e-05,allow
1,0.9999467,block_ip
0,1.1652727e-05,allow
1,0.9997564,block_ip
1,0.99993384,block_ip
0,1.5255108e-05,allow
0,6.712091e-05,allow
1,0.99963164,block_ip
0,0.0001547523,allow
1,0.99979657,block_ip
1,0.9997327,block_ip
0,1.850404e-05,allow
1,0.99994135,block_ip
0,2.6404108e-05,allow
0,2.1933965e-05,allow
1,0.99993134,block_ip
1,0.9998148,block_ip
0,1.3418683e-05,allow
0,3.7994978e-05,allow
0,0.006056503,allow
1,0.9999548,block_ip
0,1.6482183e-05,allow
1,0.99995553,block_ip
0,1.7380306e-05,allow
1,0.9999025,block_ip
1,0.99990165,block_ip
1,0.9999151,block_ip
0,2.679927e-05,allow
0,2.1983658e-05,allow
1,0.9998778,block_ip
1,0.99996436,block_ip
1,0.9999025,block_ip
1,0.99996376,block_ip
1,0.99975985,block_ip
0,0.00018066289,allow
0,5.9255424e-05,allow
1,0.9999325,block_ip
1,0.99992836,block_ip
1,0.99993527,block_ip
1,0.99996185,block_ip
0,2.5162137e-05,allow
0,1.2368993e-05,allow
0,2.5441985e-05,allow
1,0.9998061,block_ip
0,0.00012070568,allow
0,1.5238823e-05,allow
1,0.99982846,block_ip
0,4.0274568e-05,allow
0,9.062731e-06,allow
0,2.5803593e-05,allow
1,0.9999404,block_ip
0,0.00046748578,allow
0,1.6103864e-05,allow
1,0.9997261,block_ip
1,0.9975141,block_ip
0,4.5463203e-05,allow
1,0.9999212,block_ip
1,0.9998759,block_ip
1,0.9999448,block_ip
1,0.9999554,block_ip
0,0.000552545,allow
1,0.9999424,block_ip
1,0.99995565,block_ip
0,8.636678e-05,allow
0,4.317539e-05,allow
0,1.9711857e-05,allow
0,2.2186056e-05,allow
0,2.3953324e-05,allow
0,1.8186513e-05,allow
0,3.3769316e-05,allow
0,1.1510755e-05,allow
0,2.7575055e-05,allow
0,1.1246258e-05,allow
1,0.9999516,block_ip
1,0.99978906,block_ip
1,0.9995111,block_ip
0,1.3184154e-05,allow
0,3.6463513e-05,allow
1,0.99994683,block_ip
1,0.9999335,block_ip
0,5.041213e-05,allow
1,0.999959,block_ip
0,9.351062e-06,allow
0,3.287518e-05,allow
1,0.9989648,block_ip
1,0.9999435,block_ip
0,2.6226458e-05,allow
0,1.6082977e-05,allow
1,0.9999609,block_ip
0,3.6220394e-05,allow
1,0.9998883,block_ip
1,0.9999435,block_ip
1,0.9999281,block_ip
1,0.9999472,block_ip
1,0.9999523,block_ip
1,0.9999671,block_ip
0,3.9191826e-05,allow
0,4.8260703e-05,allow
0,2.2615774e-05,allow
1,0.9999298,block_ip
1,0.9999484,block_ip
1,0.99983346,block_ip
1,0.9999213,block_ip
0,1.913921e-05,allow
0,0.00014384586,allow
0,5.70444e-05,allow
1,0.99995434,block_ip
1,0.9999647,block_ip
1,0.99968123,block_ip
0,0.0006069089,allow
0,2.7029268e-05,allow
1,0.99965024,block_ip
1,0.99996483,block_ip
1,0.9999138,block_ip
1,0.9999553,block_ip
1,0.99970454,block_ip
1,0.9995672,block_ip
1,0.9993369,block_ip
0,0.0002831673,allow
1,0.9999033,block_ip
0,2.6774695e-05,allow
0,1.4506467e-05,allow
1,0.999938,block_ip
1,0.99956125,block_ip
1,0.9999126,block_ip
1,0.9999511,block_ip
1,0.99990916,block_ip
0,1.9958252e-05,allow
0,6.434801e-05,allow
1,0.9996778,block_ip
0,3.536249e-05,allow
1,0.99986374,block_ip
0,0.004922992,allow
0,2.949388e-05,allow
0,2.3628118e-05,allow
1,0.9999367,block_ip
1,0.999938,block_ip
1,0.9999615,block_ip
0,1.5929996e-05,allow
0,0.0002465152,allow
0,0.00017877755,allow
0,7.0744565e-05,allow
0,0.000117603995,allow
0,3.5103403e-05,allow
1,0.9998814,block_ip
1,0.99991715,block_ip
0,1.5241409e-05,allow
0,4.155305e-05,allow
1,0.9998621,block_ip
1,0.99987936,block_ip
1,0.9999528,block_ip
1,0.9993974,block_ip
1,0.99971515,block_ip
0,0.000109847024,allow
1,0.99995744,block_ip
0,2.1297128e-05,allow
1,0.99996257,block_ip
0,2.3457776e-05,allow
1,0.9999609,block_ip
1,0.99992406,block_ip
1,0.9998714,block_ip
1,0.99994683,block_ip
0,1.18242815e-05,allow
0,7.9244e-05,allow
0,9.173004e-05,allow
0,3.595108e-05,allow
1,0.99970144,block_ip
0,1.3966714e-05,allow
0,0.00036557953,allow
0,1.2963093e-05,allow
1,0.9999628,block_ip
1,0.99995553,block_ip
1,0.9998778,block_ip
0,1.497604e-05,allow
1,0.999915,block_ip
0,0.00031281798,allow
0,1.0365736e-05,allow
0,0.000106325395,allow
1,0.99996305,block_ip
1,0.9999422,block_ip
1,0.9998055,block_ip
0,7.6623284e-05,allow
0,1.4883719e-05,allow
1,0.9996793,block_ip
1,0.99985373,block_ip
1,0.9999006,block_ip
0,1.3383397e-05,allow
1,0.9999634,block_ip
1,0.9998529,block_ip
1,0.99985087,block_ip
0,0.00012934019,allow
1,0.9999677,block_ip
0,0.00011313184,allow
0,6.094529e-05,allow
0,2.542287e-05,allow
0,4.8143625e-05,allow
1,0.99995005,block_ip
0,2.8308974e-05,allow
0,1.2966097e-05,allow
0,2.5067673e-05,allow
1,0.99992263,block_ip
1,0.9999186,block_ip
0,0.0011193522,allow
0,2.5201569e-05,allow
1,0.999808,block_ip
0,0.00022011556,allow
1,0.9999138,block_ip
0,2.1881211e-05,allow
1,0.99994135,block_ip
1,0.9997702,block_ip
1,0.9999614,block_ip
0,4.961413e-05,allow
1,0.9999404,block_ip
0,1.8233191e-05,allow
0,7.848652e-05,allow
1,0.99985063,block_ip
1,0.9999031,block_ip
0,1.187621e-05,allow
1,0.999961,block_ip
0,3.1370095e-05,allow
1,0.9999521,block_ip
1,0.9999362,block_ip
0,2.2451917e-05,allow
0,4.612018e-05,allow
1,0.99979573,block_ip
0,4.2089217e-05,allow
0,3.060313e-05,allow
0,0.00014792998,allow
1,0.999961,block_ip
0,3.7239228e-05,allow
0,4.615683e-05,allow
0,2.2541231e-05,allow
1,0.99996114,block_ip
1,0.9998692,block_ip
1,0.9999466,block_ip
1,0.99957365,block_ip
1,0.9998648,block_ip
0,2.4672501e-05,allow
1,0.99965477,block_ip
0,3.6082354e-05,allow
0,0.00023453622,allow
0,9.01088e-05,allow
0,2.4328738e-05,allow
1,0.99995875,block_ip
1,0.99976426,block_ip
1,0.9999291,block_ip
1,0.99991703,block_ip
0,2.5055817e-05,allow
1,0.9977291,block_ip
0,2.2046328e-05,allow
0,0.00010122227,allow
0,7.9454385e-06,allow
1,0.9998933,block_ip
0,0.00013954662,allow
1,0.99994373,block_ip
1,0.99994445,block_ip
1,0.9999186,block_ip
0,8.6005406e-05,allow
0,2.0399337e-05,allow
1,0.9998776,block_ip
1,0.9999654,block_ip
0,8.884856e-05,allow
0,4.7038164e-05,allow
1,0.99995947,block_ip
1,0.99914014,block_ip
0,1.5199026e-05,allow
0,5.697182e-05,allow
0,2.9451045e-05,allow
0,6.2645224e-05,allow
0,2.6180005e-05,allow
1,0.9997148,block_ip
0,1.10625515e-05,allow
0,7.332655e-05,allow
1,0.99990857,block_ip
0,2.7572873e-05,allow
1,0.9999466,block_ip
0,0.00013285634,allow
1,0.99997187,block_ip
0,2.6907208e-05,allow
1,0.9997553,block_ip
1,0.9999621,block_ip
1,0.9999517,block_ip
0,2.5659258e-05,allow
1,0.99986196,block_ip
1,0.9997651,block_ip
0,1.939958e-05,allow
1,0.9998976,block_ip
1,0.9997944,block_ip
1,0.9998087,block_ip
1,0.99993074,block_ip
1,0.99993706,block_ip
1,0.99994266,block_ip
0,8.034081e-05,allow
1,0.9998542,block_ip
1,0.99994826,block_ip
1,0.99977535,block_ip
1,0.9998073,block_ip
1,0.9999567,block_ip
1,0.9999411,block_ip
1,0.99993587,block_ip
1,0.9999255,block_ip
0,2.3562414e-05,allow
0,9.155656e-06,allow
1,0.9999628,block_ip
0,7.37184e-06,allow
0,5.8918078e-05,allow
1,0.9998161,block_ip
1,0.9991335,block_ip
1,0.9999107,block_ip
1,0.99995923,block_ip
1,0.9998616,block_ip
0,7.375834e-05,allow
0,2.5241085e-05,allow
0,0.00070483104,allow
1,0.99995387,block_ip
0,1.6352298e-05,allow
0,1.5724556e-05,allow
0,1.4224384e-05,allow
0,3.7372392e-05,allow
0,4.5778834e-05,allow
1,0.999814,block_ip
0,1.9969086e-05,allow
0,3.648588e-05,allow
1,0.99937123,block_ip
1,0.99988127,block_ip
0,0.00027438925,allow
0,2.4829158e-05,allow
0,0.0005378175,allow
0,2.1741247e-05,allow
1,0.9999367,block_ip
0,2.1061664e-05,allow
1,0.9998647,block_ip
1,0.9994356,block_ip
1,0.99996805,block_ip
0,0.000120559474,allow
0,3.630079e-05,allow
0,2.5993424e-05,allow
0,4.1059993e-05,allow
0,8.287018e-05,allow
0,2.5067673e-05,allow
1,0.99992514,block_ip
1,0.9999635,block_ip
0,4.045186e-05,allow
1,0.9999534,block_ip
1,0.9998752,block_ip
1,0.9998723,block_ip
1,0.99970406,block_ip
1,0.99995625,block_ip
0,3.232224e-05,allow
1,0.9995933,block_ip
1,0.99993646,block_ip
1,0.99979717,block_ip
1,0.999948,block_ip
1,0.9997805,block_ip
0,8.905753e-06,allow
1,0.9997863,block_ip
0,3.080772e-05,allow
1,0.9998598,block_ip
0,8.256511e-06,allow
0,1.1266277e-05,allow
1,0.9999577,block_ip
0,2.5608997e-05,allow
1,0.99992144,block_ip
1,0.9996983,block_ip
1,0.9999145,block_ip
0,4.873154e-05,allow
0,3.8000777e-05,allow
1,0.99993134,block_ip
1,0.9999589,block_ip
0,1.0421997e-05,allow
1,0.99996233,block_ip
1,0.9999571,block_ip
0,1.0015537e-05,allow
0,1.7121054e-05,allow
1,0.99996436,block_ip
1,0.9999361,block_ip
0,2.4722247e-05,allow
1,0.9999294,block_ip
1,0.9999186,block_ip
0,2.4903715e-05,allow
0,5.619627e-05,allow
0,3.0591807e-05,allow
0,1.5943278e-05,allow
1,0.9999368,block_ip
1,0.99993145,block_ip
1,0.99996066,block_ip
0,4.102117e-05,allow
0,2.5504172e-05,allow
1,0.9999603,block_ip
0,0.0005281873,allow
0,0.00029832515,allow
0,1.4156909e-05,allow
0,1.2893187e-05,allow
0,2.2813241e-05,allow
1,0.999821,block_ip
1,0.99955887,block_ip
1,0.999508,block_ip
1,0.999828,block_ip
1,0.99991703,block_ip
1,0.9998312,block_ip
1,0.99995685,block_ip
1,0.9999114,block_ip
1,0.99980015,block_ip
1,0.9998853,block_ip
0,3.3039527e-05,allow
1,0.99995744,block_ip
0,3.51776e-05,allow
1,0.99996245,block_ip
0,3.0443876e-05,allow
0,1.6093732e-05,allow
1,0.9999497,block_ip
1,0.9998697,block_ip
1,0.9999627,block_ip
1,0.99997115,block_ip
0,5.916102e-05,allow
0,6.206772e-05,allow
0,3.4975557e-05,allow
1,0.9994962,block_ip
0,1.1142629e-05,allow
0,1.6523558e-05,allow
1,0.9999403,block_ip
1,0.99996924,block_ip
0,2.1989737e-05,allow
1,0.9998704,block_ip
0,1.5835525e-05,allow
0,1.8419285e-05,allow
0,8.0119025e-06,allow
0,4.0384795e-05,allow
1,0.99995744,block_ip
0,1.6516895e-05,allow
0,8.17054e-05,allow
1,0.9999416,block_ip
1,0.9999243,block_ip
1,0.999951,block_ip
0,3.2432097e-05,allow
0,5.212566e-05,allow
0,1.939958e-05,allow
0,1.4174145e-05,allow
1,0.99992514,block_ip
1,0.9995023,block_ip
0,5.262552e-05,allow
0,0.0004387556,allow
1,0.99992526,block_ip
0,0.00010044996,allow
0,2.0836651e-05,allow
0,2.4269808e-05,allow
0,1.0357237e-05,allow
1,0.9998685,block_ip
1,0.9995783,block_ip
1,0.9999484,block_ip
0,2.6301748e-05,allow
1,0.99984217,block_ip
0,3.071385e-05,allow
1,0.9999645,block_ip
0,3.403728e-05,allow
0,1.4857441e-05,allow
0,3.9596274e-05,allow
0,3.2432905e-05,allow
1,0.9999633,block_ip
0,0.00040940178,allow
1,0.99996245,block_ip
0,1.9035708e-05,allow
1,0.99989176,block_ip
0,4.024351e-05,allow
1,0.9999584,block_ip
1,0.99997115,block_ip
1,0.99996567,block_ip
0,9.611048e-05,allow
0,0.00017495257,allow
0,1.6861104e-05,allow
0,2.6677537e-05,allow
0,2.5993424e-05,allow
1,0.99994373,block_ip
0,0.00012349663,allow
1,0.99978274,block_ip
1,0.999959,block_ip
0,3.48518e-05,allow
1,0.9999627,block_ip
0,1.8151979e-05,allow
1,0.9999658,block_ip
0,2.6389911e-05,allow
1,0.9995135,block_ip
1,0.9998969,block_ip
1,0.9999615,block_ip
0,9.290633e-05,allow
0,2.1552605e-05,allow
1,0.9998472,block_ip
1,0.9999176,block_ip
1,0.9999083,block_ip
0,4.1888765e-05,allow
0,0.00012528028,allow
1,0.99996424,block_ip
0,0.0003031615,allow
1,0.9999521,block_ip
1,0.999956,block_ip
1,0.9997873,block_ip
0,0.00012737638,allow
0,1.7674738e-05,allow
1,0.99989986,block_ip
0,2.8747085e-05,allow
1,0.9999647,block_ip
0,4.140949e-05,allow
1,0.9999076,block_ip
0,4.47703e-05,allow
0,1.2954566e-05,allow
0,1.6173277e-05,allow
0,3.0543357e-05,allow
0,3.6061236e-05,allow
0,0.0001331196,allow
1,0.99969983,block_ip
0,6.143944e-05,allow
1,0.9999664,block_ip
1,0.9999267,block_ip
0,0.0031098379,allow
1,0.9998901,block_ip
0,0.00033359666,allow
1,0.99987674,block_ip
1,0.99993014,block_ip
0,0.0003413258,allow
0,0.019659566,allow
0,2.3270926e-05,allow
0,5.4057255e-05,allow
0,1.1710389e-05,allow
0,0.000104816085,allow
0,4.405064e-05,allow
1,0.99984825,block_ip
0,1.705364e-05,allow
1,0.99995005,block_ip
0,4.0417315e-05,allow
1,0.9999492,block_ip
1,0.99993265,block_ip
1,0.9993155,block_ip
0,6.482039e-05,allow
0,8.671867e-05,allow
1,0.99585515,block_ip
1,0.99992,block_ip
1,0.99991524,block_ip
1,0.99985623,block_ip
0,1.0152467e-05,allow
1,0.99798703,block_ip
1,0.99980456,block_ip
1,0.9998417,block_ip
0,2.255611e-05,allow
1,0.99935335,block_ip
0,0.00011675033,allow
1,0.9999553,block_ip
0,0.00021978795,allow
1,0.9999161,block_ip
0,3.3635584e-05,allow
1,0.999741,block_ip
0,2.993928e-05,allow
1,0.9998203,block_ip
0,2.1255513e-05,allow
1,0.9998361,block_ip
1,0.99974686,block_ip
0,0.000119431395,allow
0,2.6545318e-05,allow
0,4.703565e-05,allow
0,1.29028795e-05,allow
0,0.00035168475,allow
0,0.00030018017,allow
0,3.3759818e-05,allow
1,0.99994767,block_ip
1,0.9996971,block_ip
1,0.9998647,block_ip
1,0.9999589,block_ip
1,0.9999286,block_ip
0,8.940012e-06,allow
1,0.99996376,block_ip
0,1.6322789e-05,allow
0,9.6725735e-06,allow
0,7.578976e-05,allow
1,0.9999398,block_ip
0,0.00093068084,allow
0,9.464358e-05,allow
0,1.939958e-05,allow
1,0.9999577,block_ip
1,0.99993,block_ip
0,3.409488e-05,allow
1,0.999726,block_ip
1,0.99995565,block_ip
1,0.99995875,block_ip
1,0.9999423,block_ip
1,0.9999651,block_ip
0,3.322316e-05,allow
0,4.5537094e-05,allow
0,2.6816526e-05,allow
1,0.99983513,block_ip
1,0.9998956,block_ip
1,0.99995005,block_ip
1,0.999941,block_ip
0,2.6947524e-05,allow
0,3.896576e-05,allow
0,2.59901e-05,allow
1,0.9999511,block_ip
0,5.408587e-05,allow
1,0.99995816,block_ip
0,0.0009871903,allow
1,0.9998903,block_ip
1,0.99994934,block_ip
0,2.2438304e-05,allow
0,1.0367624e-05,allow
0,1.9369227e-05,allow
1,0.9996586,block_ip
0,4.3920318e-05,allow
1,0.9999503,block_ip
0,0.0009782917,allow
0,3.083597e-05,allow
0,2.9422863e-05,allow
0,5.795101e-05,allow
1,0.99986076,block_ip
0,1.7211898e-05,allow
0,9.438559e-06,allow
1,0.9999269,block_ip
0,0.0007230572,allow
1,0.9999342,block_ip
0,2.0394124e-05,allow
0,7.966052e-06,allow
1,0.99983,block_ip
0,1.4528743e-05,allow
0,1.5199721e-05,allow
1,0.99995005,block_ip
0,2.4290672e-05,allow
0,3.6389418e-05,allow
1,0.99976665,block_ip
0,3.8751095e-05,allow
0,2.306349e-05,allow
0,6.197965e-05,allow
1,0.99995303,block_ip
0,0.00039685296,allow
0,4.6221405e-05,allow
1,0.9999267,block_ip
0,1.9567062e-05,allow
1,0.99951565,block_ip
0,1.2484504e-05,allow
0,3.914562e-05,allow
1,0.9999615,block_ip
0,0.00015794222,allow
0,2.448676e-05,allow
0,1.4257087e-05,allow
1,0.9998405,block_ip
0,2.16057e-05,allow
1,0.999967,block_ip
1,0.99995446,block_ip
1,0.9997594,block_ip
0,0.00016611606,allow
0,0.00033894874,allow
0,6.517735e-05,allow
0,8.868343e-06,allow
1,0.9999471,block_ip
0,3.6556194e-05,allow
1,0.9998473,block_ip
1,0.9997708,block_ip
1,0.99992275,block_ip
0,4.9926053e-05,allow
1,0.99973184,block_ip
0,1.1074416e-05,allow
1,0.99996805,block_ip
0,0.009281648,allow
0,0.00016633891,allow
1,0.9998017,block_ip
0,1.8598726e-05,allow
1,0.9998554,block_ip
0,1.9694739e-05,allow
0,2.1890542e-05,allow
1,0.99993646,block_ip
1,0.9999263,block_ip
1,0.9999367,block_ip
1,0.99968374,block_ip
1,0.9998178,block_ip
0,0.000114839815,allow
0,3.84329e-05,allow
0,5.5296547e-05,allow
0,9.815369e-06,allow
1,0.9753709,block_ip
0,2.5970181e-05,allow
1,0.99992585,block_ip
1,0.99994826,block_ip
1,0.9999517,block_ip
1,0.9999517,block_ip
0,1.6892425e-05,allow
1,0.9999409,block_ip
0,1.5126105e-05,allow
1,0.9996933,block_ip
1,0.9999089,block_ip
0,1.5923404e-05,allow
0,8.254574e-06,allow
0,4.0268926e-05,allow
1,0.9999547,block_ip
0,4.147854e-05,allow
1,0.9998448,block_ip
