feature,shap_mean_abs
masters,0.0
match,0.0
matches,0.0
mate,0.0
mates,0.0
matrix3,0.0
matured,0.0
max10mins,0.0
maximize,0.0
meanwhile,0.0
may,0.0
mayb,0.0
maybe,0.0
meal,0.0
mean,0.0
meaning,0.0
means,0.0
meant,0.0
lots,0.0
lot,0.0
min,0.0
lost,0.0
lick,0.0
licks,0.0
lido,0.0
lie,0.0
lies,0.0
life,0.0
lifetime,0.0
lifpartnr,0.0
lift,0.0
light,0.0
lik,0.0
liked,0.0
likely,0.0
likes,0.0
lily,0.0
limiting,0.0
line,0.0
linerental,0.0
lines,0.0
library,0.0
liao,0.0
letters,0.0
legal,0.0
learn,0.0
least,0.0
leave,0.0
leaves,0.0
leaving,0.0
lect,0.0
lecture,0.0
left,0.0
legs,0.0
letter,0.0
leh,0.0
lei,0.0
lemme,0.0
less,0.0
lesson,0.0
lessons,0.0
let,0.0
lets,0.0
link,0.0
lion,0.0
lionm,0.0
lookatme,0.0
logo,0.0
logopic,0.0
lol,0.0
london,0.0
lonely,0.0
long,0.0
longer,0.0
look,0.0
looked,0.0
log,0.0
lookin,0.0
looking,0.0
looks,0.0
lor,0.0
lose,0.0
loses,0.0
losing,0.0
loss,0.0
login,0.0
lock,0.0
lionp,0.0
liverpool,0.0
lions,0.0
lip,0.0
list,0.0
listen,0.0
listening,0.0
literally,0.0
little,0.0
live,0.0
living,0.0
locations,0.0
lk,0.0
ll,0.0
lmao,0.0
lo,0.0
loads,0.0
loan,0.0
loans,0.0
local,0.0
milk,0.0
mind,0.0
original,0.0
nb,0.0
nigeria,0.0
night,0.0
nimya,0.0
nimyapls,0.0
nite,0.0
no1,0.0
nobody,0.0
noe,0.0
nokia,0.0
nokias,0.0
noline,0.0
none,0.0
noon,0.0
nope,0.0
norm150ptone,0.0
normal,0.0
normally,0.0
note,0.0
nothing,0.0
nichols,0.0
nicenicehow,0.0
nice,0.0
neft,0.0
ne,0.0
near,0.0
nearly,0.0
necessarily,0.0
necklace,0.0
ned,0.0
needed,0.0
needs,0.0
neither,0.0
nic,0.0
net,0.0
netcollex,0.0
network,0.0
neva,0.0
never,0.0
newest,0.0
news,0.0
ni8,0.0
notice,0.0
nt,0.0
ntt,0.0
operator,0.0
once,0.0
ones,0.0
oni,0.0
online,0.0
only,0.0
onto,0.0
oops,0.0
open,0.0
opinion,0.0
omg,0.0
opportunity,0.0
opt,0.0
option,0.0
optout,0.0
orchard,0.0
order,0.0
ordered,0.0
oredi,0.0
omw,0.0
old,0.0
ntwk,0.0
obviously,0.0
num,0.0
numbers,0.0
nvm,0.0
nw,0.0
nxt,0.0
nyc,0.0
nyt,0.0
o2,0.0
rude,0.0
okthenwhats,0.0
offer,0.0
offers,0.0
office,0.0
official,0.0
okay,0.0
okey,0.0
okie,0.0
okok,0.0
nd,0.0
naughty,0.0
mine,0.0
nature,0.0
moji,0.0
mojibiola,0.0
mokka,0.0
mom,0.0
moment,0.0
moments,0.0
moms,0.0
mon,0.0
monday,0.0
money,0.0
monkeys,0.0
mono,0.0
month,0.0
monthly,0.0
months,0.0
mood,0.0
moon,0.0
moons,0.0
moral,0.0
modules,0.0
module,0.0
model,0.0
mistake,0.0
mins,0.0
minute,0.0
minutes,0.0
miracle,0.0
miss,0.0
missed,0.0
missin,0.0
missing,0.0
mm,0.0
mode,0.0
mmm,0.0
mmmm,0.0
mo,0.0
moan,0.0
mobiles,0.0
mobileupd8,0.0
mobno,0.0
moby,0.0
moralone,0.0
morn,0.0
morning,0.0
name2,0.0
muz,0.0
myself,0.0
na,0.0
nah,0.0
nahi,0.0
naked,0.0
name,0.0
name1,0.0
named,0.0
music,0.0
names,0.0
nan,0.0
nap,0.0
nasdaq,0.0
natalja,0.0
national,0.0
natuition,0.0
natural,0.0
must,0.0
murderer,0.0
most,0.0
mr,0.0
mostly,0.0
mother,0.0
motorola,0.0
move,0.0
moved,0.0
movie,0.0
movies,0.0
mp3,0.0
mrng,0.0
murdered,0.0
mrt,0.0
msgs,0.0
mths,0.0
mu,0.0
much,0.0
mum,0.0
mums,0.0
murder,0.0
rub,0.0
schedule,0.0
rule,0.0
unable,0.0
under,0.0
understand,0.0
understanding,0.0
uni,0.0
university,0.0
unless,0.0
unlimited,0.0
unredeemed,0.0
unsold,0.0
unsub,0.0
until,0.0
upd8,0.0
update,0.0
updatenow,0.0
upgrade,0.0
upload,0.0
upset,0.0
upstairs,0.0
ure,0.0
uncle,0.0
umma,0.0
tscs,0.0
ull,0.0
ttyl,0.0
tuesday,0.0
tuition,0.0
turn,0.0
turns,0.0
tv,0.0
twice,0.0
two,0.0
txtin,0.0
txting,0.0
txtno,0.0
txts,0.0
tyler,0.0
type,0.0
u4,0.0
ubi,0.0
ufind,0.0
ugh,0.0
uks,0.0
urgentbut,0.0
urgentlyits,0.0
urgnt,0.0
urn,0.0
valued,0.0
vary,0.0
vava,0.0
vday,0.0
ve,0.0
vegas,0.0
vegetables,0.0
verified,0.0
verify,0.0
version,0.0
very,0.0
via,0.0
video,0.0
videochat,0.0
videophones,0.0
vijay,0.0
vikky,0.0
village,0.0
violated,0.0
value,0.0
valuable,0.0
valid12hrs,0.0
using,0.0
urself,0.0
usb,0.0
usc,0.0
use,0.0
used,0.0
user,0.0
usf,0.0
usher,0.0
usual,0.0
valid,0.0
usualiam,0.0
usually,0.0
uu,0.0
uve,0.0
vaazhthukkal,0.0
vale,0.0
valentine,0.0
valentines,0.0
tt,0.0
ts,0.0
violet,0.0
ticket,0.0
tihs,0.0
til,0.0
till,0.0
times,0.0
timing,0.0
tired,0.0
tm,0.0
tmr,0.0
tncs,0.0
toa,0.0
toclaim,0.0
today,0.0
todayfrom,0.0
todays,0.0
todaysundaysunday,0.0
tog,0.0
together,0.0
tok,0.0
told,0.0
tickets,0.0
tick,0.0
trying,0.0
thursday,0.0
things,0.0
think,0.0
thinkin,0.0
thinking,0.0
thinks,0.0
thk,0.0
thnk,0.0
tho,0.0
those,0.0
though,0.0
thought,0.0
three,0.0
throat,0.0
through,0.0
throw,0.0
thru,0.0
tht,0.0
thts,0.0
thurs,0.0
toll,0.0
tomarrow,0.0
tomeandsaidthis,0.0
tomo,0.0
track,0.0
trade,0.0
traffic,0.0
train,0.0
training,0.0
transaction,0.0
transfer,0.0
transport,0.0
trav,0.0
travel,0.0
treat,0.0
tried,0.0
trip,0.0
trouble,0.0
true,0.0
truly,0.0
trust,0.0
truth,0.0
try,0.0
town,0.0
towards,0.0
tour,0.0
tooo,0.0
tomorrow,0.0
tones2u,0.0
tones2youcouk,0.0
tonight,0.0
tonite,0.0
too,0.0
took,0.0
tool,0.0
toot,0.0
tough,0.0
top,0.0
torch,0.0
toshiba,0.0
tot,0.0
total,0.0
totally,0.0
touch,0.0
touched,0.0
violence,0.0
vip,0.0
rum,0.0
women,0.0
wonderful,0.0
wondering,0.0
wonders,0.0
wont,0.0
word,0.0
words,0.0
workin,0.0
working,0.0
world,0.0
worried,0.0
worries,0.0
worry,0.0
worse,0.0
worth,0.0
wot,0.0
would,0.0
wow,0.0
write,0.0
wrong,0.0
wonder,0.0
woman,0.0
wife,0.0
woke,0.0
wil,0.0
willing,0.0
wine,0.0
winner,0.0
winning,0.0
wins,0.0
wisdom,0.0
wish,0.0
wishes,0.0
wishing,0.0
wit,0.0
within,0.0
without,0.0
wiv,0.0
wk,0.0
wkend,0.0
wkly,0.0
wks,0.0
wnt,0.0
wt,0.0
wtf,0.0
wun,0.0
www4tcbiz,0.0
yet,0.0
yijue,0.0
ym,0.0
yo,0.0
yoga,0.0
yogasana,0.0
yor,0.0
youd,0.0
youll,0.0
youre,0.0
yours,0.0
yourself,0.0
youve,0.0
yr,0.0
yrs,0.0
yummy,0.0
yun,0.0
yuo,0.0
yup,0.0
yesterday,0.0
yest,0.0
yes,0.0
xxx,0.0
wwwcomuknet,0.0
wwwgetzedcouk,0.0
wwwldewcom1win150ppmx3age16,0.0
wwwringtonescouk,0.0
wylie,0.0
xchat,0.0
xmas,0.0
xx,0.0
xy,0.0
yep,0.0
ya,0.0
yahoo,0.0
yan,0.0
yar,0.0
yay,0.0
yeah,0.0
year,0.0
years,0.0
wifehow,0.0
wif,0.0
virgin,0.0
waiting,0.0
wake,0.0
waking,0.0
walk,0.0
walked,0.0
walking,0.0
walmart,0.0
wan,0.0
wan2,0.0
wana,0.0
wanna,0.0
wanted,0.0
wanting,0.0
wants,0.0
warm,0.0
warner,0.0
wasnt,0.0
waste,0.0
wat,0.0
watch,0.0
waitu,0.0
waitin,0.0
wid,0.0
waited,0.0
visit,0.0
vl,0.0
voda,0.0
vodafone,0.0
vodka,0.0
voice,0.0
voicemail,0.0
vomit,0.0
vote,0.0
vouchers,0.0
vry,0.0
vth,0.0
vu,0.0
w111wx,0.0
w45wq,0.0
wa,0.0
wah,0.0
waht,0.0
wait,0.0
watching,0.0
water,0.0
wats,0.0
way,0.0
were,0.0
wet,0.0
weve,0.0
whatever,0.0
whats,0.0
whenever,0.0
whenevr,0.0
whens,0.0
where,0.0
wheres,0.0
wherever,0.0
whether,0.0
while,0.0
white,0.0
who,0.0
whole,0.0
whom,0.0
whos,0.0
why,0.0
went,0.0
wen,0.0
welp,0.0
wednesday,0.0
wc1n3xx,0.0
weak,0.0
wear,0.0
wearing,0.0
weather,0.0
website,0.0
wed,0.0
wedding,0.0
weed,0.0
well,0.0
week,0.0
weekend,0.0
weekends,0.0
weekly,0.0
weeks,0.0
weight,0.0
weird,0.0
welcome,0.0
thing,0.0
theyre,0.0
these,0.0
shld,0.0
shoot,0.0
shop,0.0
shoppin,0.0
shopping,0.0
short,0.0
shortage,0.0
shorter,0.0
shortly,0.0
shot,0.0
should,0.0
shouldnt,0.0
shoving,0.0
show,0.0
shower,0.0
showing,0.0
shows,0.0
shracomorsglsuplt10,0.0
shu,0.0
shuhui,0.0
shocking,0.0
shit,0.0
settings,0.0
shirts,0.0
settled,0.0
seven,0.0
several,0.0
sha,0.0
shagged,0.0
shall,0.0
shampain,0.0
share,0.0
shd,0.0
she,0.0
sheets,0.0
shell,0.0
shes,0.0
shesil,0.0
shijas,0.0
shining,0.0
ship,0.0
shipping,0.0
shirt,0.0
shy,0.0
si,0.0
sick,0.0
side,0.0
sit,0.0
site,0.0
sitll,0.0
sitting,0.0
situation,0.0
six,0.0
size,0.0
sk3,0.0
sk38xh,0.0
skilgme,0.0
skillgame,0.0
skip,0.0
sky,0.0
skype,0.0
skyped,0.0
slap,0.0
slave,0.0
sleep,0.0
sleepin,0.0
sister,0.0
sis,0.0
siri,0.0
simple,0.0
sighs,0.0
sight,0.0
sign,0.0
signing,0.0
silence,0.0
silent,0.0
silver,0.0
sim,0.0
simpler,0.0
sir,0.0
simply,0.0
since,0.0
sinco,0.0
sing,0.0
singing,0.0
single,0.0
singles,0.0
sipix,0.0
settle,0.0
setting,0.0
theres,0.0
satisfied,0.0
saucy,0.0
savamob,0.0
save,0.0
saved,0.0
saw,0.0
say,0.0
saying,0.0
says,0.0
scared,0.0
scary,0.0
sch,0.0
le,0.0
school,0.0
schools,0.0
science,0.0
scold,0.0
score,0.0
scores,0.0
scoring,0.0
saturday,0.0
sathya,0.0
set,0.0
sat,0.0
run,0.0
running,0.0
runs,0.0
rush,0.0
sacrifice,0.0
sad,0.0
sae,0.0
safe,0.0
said,0.0
salary,0.0
sale,0.0
salon,0.0
sam,0.0
same,0.0
santa,0.0
sar,0.0
sarasota,0.0
sarcastic,0.0
sary,0.0
scotch,0.0
scotland,0.0
scream,0.0
screaming,0.0
self,0.0
sell,0.0
selling,0.0
sells,0.0
sem,0.0
semester,0.0
sen,0.0
sendername,0.0
sending,0.0
sense,0.0
sent,0.0
sentdate,0.0
sentence,0.0
sept,0.0
series,0.0
serious,0.0
seriously,0.0
services,0.0
serving,0.0
selection,0.0
selected,0.0
seen,0.0
sec,0.0
screen,0.0
scrounge,0.0
se,0.0
sea,0.0
search,0.0
searching,0.0
season,0.0
seat,0.0
second,0.0
seems,0.0
seconds,0.0
secret,0.0
secretary,0.0
secs,0.0
sed,0.0
seeing,0.0
seem,0.0
seemed,0.0
sleeping,0.0
sleepingand,0.0
sleepsweet,0.0
suite,0.0
sun,0.0
sunday,0.0
sunny,0.0
sunshine,0.0
suntec,0.0
sup,0.0
super,0.0
support,0.0
supposed,0.0
suprman,0.0
sura,0.0
sure,0.0
surely,0.0
surfing,0.0
surprise,0.0
surprised,0.0
sweet,0.0
swing,0.0
system,0.0
summer,0.0
sucks,0.0
sleepy,0.0
successfully,0.0
str,0.0
straight,0.0
street,0.0
strike,0.0
strong,0.0
stuck,0.0
study,0.0
studying,0.0
stuff,0.0
stupid,0.0
stupidits,0.0
style,0.0
stylish,0.0
sub,0.0
subpoly,0.0
subs,0.0
subscribed,0.0
subscriber,0.0
subscription,0.0
ta,0.0
tablets,0.0
takes,0.0
taking,0.0
tenants,0.0
tenerife,0.0
terms,0.0
test,0.0
texted,0.0
texting,0.0
textoperator,0.0
texts,0.0
th,0.0
than,0.0
thangam,0.0
thank,0.0
thanks,0.0
thanksgiving,0.0
thanx,0.0
theatre,0.0
their,0.0
them,0.0
theory,0.0
ten,0.0
temple,0.0
telphone,0.0
tcrw1,0.0
talk,0.0
talking,0.0
tampa,0.0
tariffs,0.0
tat,0.0
taunton,0.0
tb,0.0
tc,0.0
tcs,0.0
tells,0.0
tea,0.0
teach,0.0
teaches,0.0
team,0.0
tear,0.0
teasing,0.0
tel,0.0
telling,0.0
story,0.0
storming,0.0
store,0.0
sooooo,0.0
snowman,0.0
social,0.0
sofa,0.0
soft,0.0
software,0.0
sol,0.0
solve,0.0
some1,0.0
somebody,0.0
someone,0.0
somethin,0.0
something,0.0
sometimes,0.0
somewhere,0.0
song,0.0
songs,0.0
sony,0.0
sonyericsson,0.0
soon,0.0
snow,0.0
snake,0.0
sn,0.0
slowly,0.0
slept,0.0
slice,0.0
slide,0.0
slightly,0.0
slip,0.0
slippers,0.0
slots,0.0
slow,0.0
small,0.0
smth,0.0
smashed,0.0
smile,0.0
smiled,0.0
smiles,0.0
smiling,0.0
smoke,0.0
smoking,0.0
sms08718727870,0.0
sooner,0.0
sore,0.0
stopped,0.0
sorry,0.0
spree,0.0
sptyrone,0.0
st,0.0
stand,0.0
standard,0.0
standing,0.0
start,0.0
started,0.0
starting,0.0
starts,0.0
starwars3,0.0
statement,0.0
station,0.0
stay,0.0
staying,0.0
std,0.0
stock,0.0
stockport,0.0
stomps,0.0
sports,0.0
sport,0.0
spook,0.0
speak,0.0
sort,0.0
sorting,0.0
sorydarealyfrm,0.0
sound,0.0
sounds,0.0
south,0.0
space,0.0
spanish,0.0
special,0.0
spoken,0.0
specialcall,0.0
specially,0.0
speed,0.0
spend,0.0
spending,0.0
spent,0.0
spl,0.0
spoke,0.0
lead,0.0
kusruthi,0.0
ldnw15h,0.0
brother,0.0
bslvyl,0.0
bt,0.0
btnationalrate,0.0
btw,0.0
bucks,0.0
bud,0.0
budget,0.0
buff,0.0
bugis,0.0
building,0.0
buns,0.0
burger,0.0
bus,0.0
business,0.0
busy,0.0
butt,0.0
buy,0.0
buying,0.0
buzz,0.0
brought,0.0
broke,0.0
bye,0.0
brings,0.0
box385,0.0
box39822,0.0
box97n7qp,0.0
boy,0.0
boye,0.0
boyfriend,0.0
boys,0.0
boytoy,0.0
brah,0.0
brain,0.0
brand,0.0
brandy,0.0
bray,0.0
bread,0.0
break,0.0
breathe,0.0
bright,0.0
bring,0.0
bringing,0.0
bx420ip45we,0.0
cabin,0.0
box326,0.0
cannt,0.0
car,0.0
card,0.0
cardiff,0.0
care,0.0
career,0.0
careful,0.0
carefully,0.0
caring,0.0
carlos,0.0
cars,0.0
cartoon,0.0
case,0.0
cashbalance,0.0
cashin,0.0
cat,0.0
catch,0.0
caught,0.0
cause,0.0
cbe,0.0
captain,0.0
cannot,0.0
cafe,0.0
cancer,0.0
cake,0.0
cal,0.0
calicut,0.0
california,0.0
callback,0.0
called,0.0
caller,0.0
callers,0.0
callertune,0.0
callin,0.0
calling,0.0
calls,0.0
callsmessagesmissed,0.0
cam,0.0
camcorder,0.0
came,0.0
camera,0.0
campus,0.0
cancel,0.0
box334sk38ch,0.0
box177,0.0
cd,0.0
beware,0.0
bf,0.0
bid,0.0
bids,0.0
big,0.0
bigger,0.0
biggest,0.0
bill,0.0
billed,0.0
billion,0.0
bills,0.0
bin,0.0
birds,0.0
birla,0.0
birth,0.0
birthdate,0.0
birthday,0.0
bishan,0.0
bit,0.0
bitch,0.0
beyond,0.0
between,0.0
black,0.0
better,0.0
become,0.0
becoz,0.0
bed,0.0
bedroom,0.0
beer,0.0
befor,0.0
before,0.0
begin,0.0
behave,0.0
behind,0.0
being,0.0
believe,0.0
bell,0.0
belly,0.0
belovd,0.0
beneath,0.0
best,0.0
best1,0.0
bet,0.0
bite,0.0
blackberry,0.0
box,0.0
bonus,0.0
book,0.0
booked,0.0
booking,0.0
books,0.0
boost,0.0
booty,0.0
bored,0.0
borin,0.0
boring,0.0
born,0.0
borrow,0.0
boss,0.0
boston,0.0
both,0.0
bother,0.0
bottom,0.0
bought,0.0
bout,0.0
bowl,0.0
boo,0.0
bone,0.0
blah,0.0
bold,0.0
blakes,0.0
blank,0.0
bleh,0.0
bless,0.0
blessed,0.0
blessing,0.0
blind,0.0
blonde,0.0
bloo,0.0
bloodsend,0.0
bloody,0.0
blow,0.0
blu,0.0
blue,0.0
bluetooth,0.0
bluff,0.0
bmw,0.0
boat,0.0
body,0.0
cc,0.0
cds,0.0
ldn,0.0
cum,0.0
current,0.0
currently,0.0
cust,0.0
custcare,0.0
cut,0.0
cute,0.0
cuz,0.0
cw25wx,0.0
da,0.0
dad,0.0
daddy,0.0
daily,0.0
damn,0.0
dare,0.0
dark,0.0
darlin,0.0
darling,0.0
darren,0.0
dat,0.0
cup,0.0
cud,0.0
dates,0.0
cs,0.0
costs,0.0
could,0.0
couldnt,0.0
country,0.0
couple,0.0
course,0.0
cover,0.0
coz,0.0
cr9,0.0
cramps,0.0
crave,0.0
crazy,0.0
created,0.0
credit,0.0
credited,0.0
credits,0.0
cross,0.0
croydon,0.0
cry,0.0
date,0.0
dating,0.0
cost150pm,0.0
details,0.0
dictionary,0.0
did,0.0
didnt,0.0
didt,0.0
die,0.0
died,0.0
diet,0.0
different,0.0
difficult,0.0
digital,0.0
dignity,0.0
din,0.0
dinner,0.0
dint,0.0
direct,0.0
directly,0.0
dirty,0.0
dis,0.0
discount,0.0
dick,0.0
derek,0.0
dats,0.0
depends,0.0
de,0.0
dead,0.0
deal,0.0
dear,0.0
dearly,0.0
death,0.0
decide,0.0
decided,0.0
decision,0.0
deep,0.0
def,0.0
definitely,0.0
del,0.0
deleted,0.0
deliver,0.0
delivered,0.0
deliveredtomorrow,0.0
dem,0.0
den,0.0
costa,0.0
cos,0.0
cell,0.0
cheers,0.0
chicken,0.0
chikku,0.0
child,0.0
childish,0.0
children,0.0
chillin,0.0
china,0.0
chinese,0.0
choice,0.0
choose,0.0
chosen,0.0
christmas,0.0
church,0.0
cine,0.0
cinema,0.0
city,0.0
claire,0.0
class,0.0
clean,0.0
chennai,0.0
checking,0.0
clear,0.0
checked,0.0
center,0.0
centre,0.0
certainly,0.0
cha,0.0
chain,0.0
challenge,0.0
chance,0.0
change,0.0
changed,0.0
changes,0.0
character,0.0
charge,0.0
charged,0.0
charges,0.0
charity,0.0
chatting,0.0
cheap,0.0
cheaper,0.0
check,0.0
cleaning,0.0
click,0.0
correct,0.0
company,0.0
complete,0.0
completely,0.0
complimentary,0.0
computer,0.0
concert,0.0
conditions,0.0
confirm,0.0
congrats,0.0
congratulations,0.0
connect,0.0
connection,0.0
constantly,0.0
contacted,0.0
content,0.0
contract,0.0
convey,0.0
cooking,0.0
cool,0.0
copy,0.0
competition,0.0
comp,0.0
clock,0.0
community,0.0
close,0.0
closedincluding,0.0
club,0.0
co,0.0
code,0.0
coffee,0.0
cold,0.0
